"District.Name"
"SPURGER ISD"
"STAMFORD ISD"
"STOCKDALE ISD"
"STRAWN ISD"
"SULPHUR BLUFF ISD"
"SULPHUR SPRINGS ISD"
"SWEET HOME ISD"
"SWEETWATER ISD"
"TAFT ISD"
"TAHOKA ISD"
"TARKINGTON ISD"
"TAYLOR ISD"
"TEMPLE ISD"
"TENAHA ISD"
"TERLINGUA COMMON SD"
"TERRELL ISD"
"THORNDALE ISD"
"THRALL ISD"
"THREE WAY (ERATH) ISD"
"THROCKMORTON ISD"
"TIMPSON ISD"
"TIOGA ISD"
"TOLAR ISD"
"TOM BEAN ISD"
"TORNILLO ISD"
"TRENT ISD"
"TRENTON ISD"
"TRINIDAD ISD"
"TRINITY ISD"
"TROUP ISD"
"TROY ISD"
"TULIA ISD"
"TURKEY-QUITAQUE ISD"
"UNION GROVE ISD"
"UNION HILL ISD"
"UNITED ISD"
"UTOPIA ISD"
"VALENTINE ISD"
"VALLEY MILLS ISD"
"VALLEY VIEW (COOKE) ISD"
"VALLEY VIEW (HIDALGO) ISD"
"VAN ALSTYNE ISD"
"VAN ISD"
"VAN VLECK ISD"
"VEGA ISD"
"VENUS ISD"
"VERIBEST ISD"
"VERNON ISD"
"VICTORIA ISD"
"VIDOR ISD"
"VYSEHRAD ISD"
"WACO ISD"
"WAELDER ISD"
"WALCOTT ISD"
"WALL ISD"
"WALNUT BEND ISD"
"WARREN ISD"
"WASKOM ISD"
"WATER VALLEY ISD"
"WEIMAR ISD"
"WELLINGTON ISD"
"WELLS ISD"
"WESLACO ISD"
"WEST HARDIN COUNTY CISD"
"WEST ISD"
"WEST ORANGE-COVE CISD"
"WEST OSO ISD"
"WEST RUSK ISD"
"WEST SABINE ISD"
"WESTHOFF ISD"
"WESTPHALIA ISD"
"WESTWOOD ISD"
"WHARTON ISD"
"WHEELER ISD"
"WHITE OAK ISD"
"WHITE SETTLEMENT ISD"
"WHITEHOUSE ISD"
"WHITESBORO ISD"
"WHITEWRIGHT ISD"
"WHITHARRAL ISD"
"WHITNEY ISD"
"WICHITA FALLS ISD"
"WILDORADO ISD"
"WILLS POINT ISD"
"WIMBERLEY ISD"
"WINDTHORST ISD"
"WINFIELD ISD"
"WINNSBORO ISD"
"WINONA ISD"
"WINTERS ISD"
"WODEN ISD"
"WOLFE CITY ISD"
"WOODSBORO ISD"
"WOODSON ISD"
"WORTHAM ISD"
"WYLIE (TAYLOR) ISD"
"YANTIS ISD"
"YOAKUM ISD"
"YSLETA ISD"
"ZAPATA ISD"
"ZAVALLA ISD"
"ZEPHYR ISD"
