SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT06R,DA0708DR06R,DADC406R,DA0GR06N,DAGC406R,DA311TA07R,DA311TR07R,DA311TW07R,DA311TM07R,DA311TC07R,DA311TS07R,DB311TA07R,DH311TA07R,DW311TA07R,DO311TA07R,DE311TA07R,DA0SU07R,DA0CT06R,DA0CC06R,DA0CS06R,DA0CA06R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
McDade,011905,011 BASTROP,13,AA,1,181,1,32,67,0,57.5,16,13,16,0,7,96.4,0,.,0,.,59,89,91,65,72,85,.,42,67,.,60,83,.,.,.,.,32,15,3,3,6,46,19,23,70000,55000,33774,37678,24,5.6,12.1,40,8.9,6.7,41.1,0,7,93,0,73,20,3,3,0,0,302585,1.444000,2443290,10531,49,39,12,813832,47,1907766,1776903,7659,55,11,7,13,14,978072,4216,57,14,27,1,0,1,1,0
Seymour,012901,012 BAYLOR,09,AA,3,628,4,16,79,1,50.3,1,9,1,34,5,96.3,0,2.3,43,93,77,94,97,87,68,89,80,71,79,.,68,92,52.6,30,.,21.9,95,56,2,2,4,59,10,22,78500,63110,43854,40334,4,6.6,11.1,22,13.8,12.1,19.1,0,2,98,0,79,5,3,0,11,1,206970,1.515000,6827435,11304,54,39,7,1561579,28,6524715,5411973,8960,57,7,6,11,20,3100924,5134,57,14,13,0,9,0,7,0
St Mary's Academy Charter,013801,013 BEE,02,RE,1,283,3,78,18,1,71.7,0,12,0,0,0,96.1,0,.,0,.,87,97,.,89,95,.,.,85,91,.,85,97,.,.,.,.,46,19,2,4,4,41,26,24,52483,56194,40919,36705,47,6.1,15,47.9,14.2,23.4,20.2,0,21,73,5,89,11,0,0,0,0,0,0.000000,2248854,10040,71,3,25,405557,22,2232219,2223659,9927,57,13,5,13,12,1266469,5654,55,11,35,0,0,0,0,0
Beeville,013901,013 BEE,02,AA,8,3652,3,77,20,1,69.6,2,10,2,23,8,94.9,0.2,7.7,217,82.4,60,85,90,68,63,82,53,56,74,53,54,97,60.5,10.5,926,18.6,544,230,1,3,7,42,13,34,85682,66344,53719,43735,56,6.7,15.9,18.2,14.6,20.3,15.9,2,27,70,0,74,10,3,0,6,7,121617,1.514000,30820265,8269,56,27,17,6137966,25,31842468,28383335,7616,56,7,5,12,21,15961078,4283,59,12,18,0,4,1,4,3
Pawnee,013902,013 BEE,02,AA,1,134,1,61,37,1,63.4,2,5,2,0,7,96.7,0,.,0,.,61,93,82,70,67,93,.,46,80,.,52,.,.,.,.,.,25,11,4,4,2,46,12,32,69000,55000,42200,42999,50,5.4,11.9,17.7,15,32.1,20.2,0,27,73,0,88,3,9,0,0,0,1405590,1.196000,1609122,10946,8,85,7,1014890,40,1278059,1277740,8692,52,12,5,14,18,661273,4498,73,7,18,0,0,1,1,0
Pettus,013903,013 BEE,02,AA,2,394,1,57,42,0,66,2,15,1,29,5,95.9,1.4,2.9,32,94.3,65,91,.,76,63,83,.,55,77,.,57,74,40.7,0,.,18.8,70,38,3,4,5,54,13,22,57129,53118,43402,42027,33,5.6,10.5,29.3,12.8,11.9,19.6,0,11,89,0,84,9,3,0,5,0,371151,1.370000,3825766,10807,28,62,10,698416,20,3645131,3638102,10277,53,9,6,14,18,1914031,5407,59,14,16,0,5,0,5,0
Skidmore-Tynan,013905,013 BEE,02,AA,3,780,4,60,35,1,68.2,4,12,4,30,4,95.7,0,4.5,43,90.9,72,92,96,80,73,93,88,64,83,.,70,91,35.1,7.7,.,18.9,110,58,3,4,20,53,12,9,69977,65062,27160,40904,49,7.1,13.4,30.8,12.4,14.2,12.6,5,29,66,0,87,6,0,0,6,1,128722,1.445000,6828743,9069,61,26,13,1086635,18,6817238,6269760,8326,53,7,6,13,21,3341992,4438,61,13,14,0,5,0,6,0
R Milburn (Killeen),014801,014 BELL,12,EA,1,158,47,21,29,4,51.9,0,11,0,32,0,87.2,.,9.2,43,50.8,25,67,.,27,34,50,25,26,20,.,25,56,5,.,.,.,17,9,0,6,6,53,12,24,.,63000,37809,36234,77,9.5,18.1,11.4,11,54.3,39.2,69,0,31,0,89,0,0,0,11,0,0,0.000000,1010468,5875,93,0,7,220427,22,967824,967824,5627,42,26,15,12,4,408370,2374,58,9,25,0,8,0,0,0
Transformative Charter Acad,014802,014 BELL,12,EA,1,83,54,19,23,4,60.2,0,16,0,23,0,90.9,.,14.6,39,70.7,27,78,.,21,37,74,29,11,38,.,30,57,2.8,.,.,.,9,2,11,0,17,28,11,33,57160,.,29998,29758,94,9.2,33.2,100,1.7,20,57.1,80,20,0,0,81,0,0,0,19,0,0,0.000000,531013,6322,86,4,10,586830,132,558272,544890,6487,42,22,21,11,3,228720,2723,43,15,35,4,3,0,0,0
Temple Education Center,014803,014 BELL,12,AU,1,91,64,19,17,1,82.4,0,17,0,0,0,92.8,0,.,1,.,13,47,50,35,.,50,6,.,.,.,14,.,.,.,.,.,12,4,8,0,2,33,25,33,47500,.,86514,27954,41,7.5,22.8,75,3.8,0,74.6,50,25,25,0,75,0,25,0,0,0,0,0.000000,761044,7180,85,3,12,0,0,764420,764420,7212,49,13,10,16,12,373959,3528,49,18,32,0,0,0,1,0
