SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT06R,DA0708DR06R,DADC406R,DA0GR06N,DAGC406R,DA311TA07R,DA311TR07R,DA311TW07R,DA311TM07R,DA311TC07R,DA311TS07R,DB311TA07R,DH311TA07R,DW311TA07R,DO311TA07R,DE311TA07R,DA0SU07R,DA0CT06R,DA0CC06R,DA0CS06R,DA0CA06R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Grapevine-Colleyville,220906,220 TARRANT,11,AA,19,13887,4,14,75,8,13.4,7,7,6,19,15,96.7,0,2.9,1041,93.7,87,97,97,90,89,97,71,72,90,94,69,85,93.2,49.4,1094,23.5,1616,918,1,4,8,57,7,23,81470,63221,57170,48617,13,8.6,15.1,28.5,11.9,31.7,10.7,1,5,93,1,78,11,0,6,3,1,624308,1.574000,129457442,9327,10,87,4,26299780,18,128299543,99231046,7149,59,6,5,12,19,58270138,4198,68,16,3,4,2,2,3,1
Keller,220907,220 TARRANT,11,AA,32,27794,7,15,71,8,14,4,7,4,21,9,96.4,0.1,4.6,1424,90.1,82,94,96,87,82,93,66,71,85,84,67,85,78.3,34.1,1037,21.3,2913,1659,1,3,8,57,7,24,79500,67472,50344,46624,16,9.5,16.8,39.5,9.2,18.7,13.1,1,3,94,1,80,7,4,2,3,4,299609,1.608000,196639132,7627,21,76,3,28663844,18,255480342,154394737,5989,59,5,6,13,17,91142590,3535,73,14,5,1,3,1,3,0
Mansfield,220908,220 TARRANT,11,AA,33,27940,25,19,50,6,29.1,9,9,8,19,7,96.4,0,4.9,1373,87.8,74,92,95,80,72,92,61,65,82,85,61,85,66.8,26.3,997,20.3,3174,1716,1,3,7,54,7,29,99772,69035,53877,46783,25,8.8,16.3,35.4,9.9,19.4,12.5,8,5,86,1,77,10,3,2,4,4,247077,1.688000,211633549,8261,36,59,5,40917314,23,305106034,159791551,6238,59,4,8,11,18,94701938,3697,58,18,4,3,4,10,3,1
Lake Worth,220910,220 TARRANT,11,AA,8,2696,9,51,39,2,73.9,16,9,15,19,4,94.9,0,7.5,125,84.4,57,84,90,67,62,85,45,49,69,75,53,77,62.9,9.6,869,18.3,416,219,2,4,7,53,6,28,77000,55815,45553,43234,21,6.5,12.3,48.8,8.1,16.9,20.9,1,5,94,0,80,10,5,1,3,1,238231,1.770000,26708635,9907,41,44,15,3394480,15,47983839,22197037,8233,56,7,5,11,22,12354731,4583,59,12,21,2,2,0,4,0
Crowley,220912,220 TARRANT,11,AA,17,14160,35,23,37,5,38.4,8,10,7,15,5,95.6,1.5,3.1,782,91.6,65,88,90,73,67,87,51,61,80,79,53,76,69.1,27.4,994,20,1815,889,1,3,7,49,1,40,96879,66394,52691,45320,27,7.8,15.9,40.2,10,19.7,20.4,10,6,84,1,81,12,0,2,4,1,291741,1.671000,106323679,7049,27,66,6,11358889,12,123967364,90324468,5988,60,4,6,14,16,54301937,3600,68,18,7,3,3,1,1,1
Kennedale,220914,220 TARRANT,11,AA,5,3052,15,16,59,10,32.8,5,10,5,16,8,95.5,0,1.4,186,92.8,71,91,89,78,80,90,60,67,74,79,65,84,64.7,26.4,991,19.3,368,200,1,3,6,54,10,25,91852,70372,53403,43023,15,8.3,15.3,38.4,10.1,12.5,18.7,4,2,91,3,82,10,1,2,3,2,278002,1.720000,24136428,8246,26,68,6,4339301,23,39183780,18975547,6483,59,7,7,10,18,11144290,3807,69,16,5,1,3,2,3,1
Azle,220915,220 TARRANT,11,AA,11,5813,1,12,85,2,35.6,3,13,3,21,8,95.5,0.1,1.2,368,90.3,70,92,92,76,71,89,62,62,71,84,63,89,58.5,30.1,1025,21.7,796,387,1,3,6,49,14,28,98889,58864,55548,45482,5,7.3,15,30.2,12.5,17.1,16.8,0,3,97,0,78,12,4,0,3,2,281839,1.524000,44558431,7668,36,57,7,12144824,31,42778305,39399165,6780,56,7,5,14,19,22206136,3821,64,19,5,0,3,4,3,1
Hurst-Euless-Bedford,220916,220 TARRANT,11,AA,30,20209,14,22,53,11,41.7,12,10,11,19,9,96.5,0.3,2.7,1204,90.8,82,94,94,88,82,96,71,73,87,85,73,92,62.8,32.3,1023,21.1,2409,1283,1,3,8,53,8,27,96744,77025,59179,50933,20,8.4,15.8,31.3,12.3,27.1,13.5,2,7,89,2,46,9,30,5,3,7,389838,1.598000,168867334,8463,10,83,8,20296252,15,163889475,140053487,7019,59,6,6,9,20,82785000,4149,64,16,5,4,3,2,3,2
Castleberry,220917,220 TARRANT,11,AA,8,3322,1,62,36,1,69.7,26,9,25,20,5,95.2,0.8,5.2,138,73.8,54,84,88,63,59,82,68,48,61,73,50,68,49.2,12.5,894,.,452,206,2,3,8,46,12,29,77454,57071,45968,42344,25,7.4,16.2,64.7,6.3,16.1,39.5,1,13,85,1,80,8,3,6,3,0,126601,1.536000,28088218,8574,58,29,14,6988478,31,26069852,22923819,6998,56,7,6,13,18,12824945,3915,56,12,20,2,2,2,4,0
Eagle Mt-Saginaw,220918,220 TARRANT,11,AA,18,12629,8,30,57,5,29.7,6,9,6,15,5,95.6,0.4,9.1,488,80.4,71,92,93,77,72,93,59,61,78,74,61,78,50.4,30.1,988,21.6,1385,746,1,2,8,54,8,27,82854,68863,53917,48045,14,9.1,16.9,34.4,10.7,12.6,9.5,1,4,94,1,81,7,3,1,4,5,390095,1.535000,89500996,8241,14,82,5,11621997,15,121700754,70613438,6502,60,4,5,13,19,42119875,3878,75,14,3,0,3,1,4,1
Carroll,220919,220 TARRANT,11,EX,11,7772,2,4,88,6,1.3,1,10,0,8,19,96.7,0,0,574,99.3,95,99,.,96,96,99,94,92,95,97,91,99,.,56.4,1119,24.2,936,506,1,3,8,54,8,26,93395,69094,55309,46785,14,8.3,15.4,31.5,11.6,21.8,14.5,1,3,95,1,82,10,0,0,1,7,544269,1.795000,78552529,10437,7,90,2,15525122,22,76459515,53395841,7095,56,7,5,13,19,29680638,3944,71,20,2,0,1,1,5,0
White Settlement,220920,220 TARRANT,11,AA,10,5405,8,26,63,3,45.3,7,12,6,23,8,95.4,0,0.3,293,91.2,74,92,94,80,78,91,60,68,78,78,69,91,48.9,25.2,1001,20.6,738,381,1,3,6,52,11,27,106317,65846,55031,44482,14,7.3,14.2,45.7,9.8,12.9,20.9,2,3,94,1,74,10,4,3,4,5,210335,1.768000,42497023,8313,42,50,8,4259192,12,97677784,37349877,7306,58,6,7,11,18,21796262,4264,63,17,11,2,3,1,3,1
Eagle Academies of Texas,221801,221 TAYLOR,14,EA,17,2420,15,54,30,1,57.1,31,13,31,29,0,90.4,0,9.7,39,43.3,34,74,79,38,43,68,21,29,49,45,30,87,13.3,.,.,.,210,131,0,8,0,62,21,7,125000,52431,16500,33094,49,11.5,18.4,39.5,10.2,24,27.3,15,28,56,1,78,15,0,6,1,0,0,0.000000,1216261,5904,87,0,13,-906265,-6,1150978,1150937,5587,67,13,9,7,4,775364,3764,61,15,19,5,0,0,0,0
Abilene,221901,221 TAYLOR,14,AA,36,16622,14,34,51,2,58.2,3,17,3,24,6,95.5,0.3,6.3,900,77.2,74,92,97,81,74,91,60,65,82,85,66,95,60.9,33.2,1016,21.6,2502,1271,1,2,9,51,15,22,91632,69513,48450,43405,21,6.6,13.1,19.1,15.5,19.9,8.8,2,7,91,0,71,16,6,1,4,3,197084,1.487000,140405623,8477,44,40,16,15873613,14,159308516,132047600,7972,59,6,5,10,20,78417532,4735,56,21,13,1,3,1,3,3
Merkel,221904,221 TAYLOR,14,AA,6,1181,3,18,79,0,52.2,2,19,2,20,11,96,0,5.2,84,91.7,71,91,92,82,70,86,31,58,75,.,67,94,66.7,17.4,964,20.2,224,117,1,4,3,52,16,24,75536,54202,49245,40179,12,5.3,10.1,22.3,14.5,11.1,12.6,0,2,98,0,75,9,8,0,4,3,293705,1.334000,11559681,9124,61,29,9,2491355,23,11244712,10814950,8536,60,6,5,12,18,6435013,5079,56,15,17,1,4,3,5,1
Trent,221905,221 TAYLOR,14,AA,1,176,3,18,79,0,49.4,6,15,6,42,7,97.1,0,0,8,72.7,65,86,67,76,74,92,.,36,71,.,58,.,37.5,.,.,.,33,18,2,2,3,54,6,33,95000,73995,35600,36399,14,5.4,9.9,45.5,9.1,0,12.4,6,0,94,0,70,6,7,5,13,0,561483,1.760000,2006799,12089,9,86,5,1024084,53,2264791,1759921,10602,51,14,4,17,13,902421,5436,71,8,8,1,6,1,6,0
Jim Ned Cons,221911,221 TAYLOR,14,RE,4,1015,1,6,92,1,27.7,0,13,0,39,7,96.3,0,2.7,73,94.6,79,95,99,83,84,93,67,58,80,.,74,96,81.9,30.5,1037,21.4,154,83,1,3,5,54,12,25,78321,61038,47238,41464,4,6.6,12.2,7.2,16.2,17.5,4.9,0,1,99,0,83,6,3,0,6,1,325873,1.379000,10478119,10627,43,38,19,1121329,13,9756850,9146502,9276,56,6,5,9,23,5129848,5203,48,39,4,0,4,1,4,0
Wylie,221912,221 TAYLOR,14,RE,6,3051,4,8,85,3,11.6,0,9,0,26,3,96.3,0.2,0.9,211,97.2,90,97,97,93,91,97,71,80,91,90,83,99,75,41,1049,22.7,306,190,1,3,5,62,7,22,82495,63175,46555,38811,6,10,16.1,24,12.8,17.9,8.4,1,2,98,0,84,7,2,0,5,2,288870,1.270000,18591739,6260,30,67,3,1953225,10,21307160,15528859,5229,59,6,5,12,19,9114173,3069,76,11,3,0,5,1,5,0
Terrell County,222901,222 TERRELL,18,AA,3,144,1,61,35,4,48.6,4,10,4,37,3,95.5,0,0,6,100,76,94,89,85,62,95,.,76,78,.,74,33,.,.,.,.,46,22,3,3,5,47,11,31,42143,60981,46893,43123,55,3.2,6.7,35.6,11.2,22,9.5,0,39,61,0,83,3,6,0,8,0,5464269,1.342000,3373427,23265,8,88,4,24368,0,3322604,2883315,19885,43,12,5,19,21,1236748,8529,60,11,14,1,5,0,9,0
Brownfield,223901,223 TERRY,17,AA,4,1790,6,67,27,0,72.5,7,12,5,39,8,95.6,0.7,8.5,119,89.2,54,79,86,62,63,85,34,46,74,.,47,76,49.5,19.2,992,19,303,152,2,3,8,50,15,22,73975,61898,48216,41645,34,5.9,11.8,29,13.4,11.6,21.6,1,13,85,1,68,8,9,3,8,4,315953,1.470000,18941043,10322,34,45,22,3791240,27,18203847,16976386,9251,57,9,4,10,19,9739769,5308,48,20,21,1,5,0,3,2
Meadow,223902,223 TERRY,17,AA,1,288,0,68,31,1,70.1,6,7,6,37,5,96.8,0,4.3,22,95.7,72,86,93,81,72,80,.,64,89,.,63,88,55.6,30,.,22,43,24,2,4,6,56,9,22,72000,57221,36554,39450,29,6.6,11.9,41.2,9.8,2.4,11.1,0,11,89,0,78,5,4,0,13,0,198984,1.435000,3142495,9851,52,32,16,1612859,64,3120531,2608345,8177,54,10,7,12,17,1397549,4381,45,5,34,1,9,0,6,0
Wellman-Union Cons,223904,223 TERRY,17,RE,1,212,2,34,64,0,46.2,12,10,12,40,2,96.2,0,0,18,100,87,97,.,93,90,89,.,77,93,.,85,.,64.7,27.3,992,22,41,21,2,2,1,52,15,28,75000,58319,51945,42712,21,5.2,10,9.4,17,12.8,0,0,0,100,0,75,7,8,2,8,0,556298,1.370000,2926916,12350,27,61,11,681712,29,2660207,2531247,10680,51,11,5,14,19,1290069,5443,58,10,16,1,8,1,5,0
Throckmorton,224901,224 THROCKMORTON,09,RE,2,206,0,16,84,0,56.8,1,13,1,39,14,97.6,0,0,15,88.2,70,96,97,78,86,81,.,56,73,.,63,60,.,20,860,20.1,39,21,3,2,5,55,13,22,66000,57883,45605,41941,3,5.3,9.6,32.6,13.3,11.8,33.3,0,0,100,0,77,6,2,0,14,0,522051,1.370000,2353558,11207,33,60,6,377114,17,2236584,2143551,10207,57,10,6,11,17,1218234,5801,61,10,11,0,10,0,8,0
Woodson,224902,224 THROCKMORTON,09,RE,1,99,0,20,80,0,46.5,1,14,1,48,5,97.9,0,0,12,100,76,94,.,78,84,96,.,69,78,.,70,.,100,18.2,.,20.1,25,15,4,1,1,61,12,20,73000,55930,55930,38962,0,4,6.5,32.7,13.3,15,19.5,0,0,100,0,78,4,6,0,11,0,320725,1.370000,1402126,13354,56,37,7,451715,33,1389332,1368953,13038,59,11,4,10,16,803412,7652,67,9,8,0,8,1,7,0
Mount Pleasant,225902,225 TITUS,08,AA,10,5341,15,58,26,1,75.9,36,14,29,26,6,96.4,0.1,11.3,295,84.9,70,88,93,79,70,89,58,66,83,85,66,92,26.8,25.4,1004,19.5,950,397,1,2,8,42,18,29,75954,62953,47452,40673,35,5.6,13.4,38.7,11.4,19.8,17.5,7,8,84,0,56,9,9,17,7,3,343297,1.451000,51048882,9810,23,56,21,9338365,25,49401228,45105158,8667,59,7,5,11,19,26454459,5083,39,16,29,5,5,1,2,2
Winfield,225905,225 TITUS,08,RE,1,132,0,80,20,0,91.7,46,9,46,0,3,97,0,.,0,.,79,91,81,84,87,.,.,78,81,.,79,.,.,.,.,.,26,13,8,4,4,50,12,23,54102,54884,49300,36440,12,5.1,10.2,46.2,8.7,7.7,21.4,0,0,100,0,83,3,8,7,0,0,325807,1.370000,1621518,13183,21,57,22,460000,39,1436898,1417779,11527,58,14,6,10,14,815139,6627,55,5,34,5,0,0,0,0
Chapel Hill,225906,225 TITUS,08,AA,3,844,2,24,73,1,37.1,8,11,8,39,10,96.7,0,0,50,98,81,95,96,87,83,99,70,66,85,89,73,.,52.4,27.3,1029,20.9,120,70,2,4,4,59,14,17,70176,59572,42743,38926,9,7,12,39.1,10,16,11.6,3,3,94,0,86,6,0,0,8,0,96128,1.425000,6843233,8070,73,22,4,641477,10,6688560,5990436,7064,59,6,7,15,14,3508339,4137,71,11,7,1,7,0,2,1
Harts Bluff,225907,225 TITUS,08,RE,1,409,1,44,55,1,60.4,30,8,29,0,5,96.9,0,.,0,.,81,92,96,85,97,.,.,77,84,.,80,84,.,.,.,.,63,35,3,3,6,56,13,19,61560,51100,32213,37554,8,6.5,11.7,37.1,9.4,5.7,21.9,0,0,100,0,92,6,0,2,0,0,240150,1.280000,4114836,9637,49,38,13,280000,9,3333047,3136374,7345,65,9,6,9,11,2049079,4799,70,9,18,3,0,0,1,0
Christoval,226901,226 TOM GREEN,15,AA,7,409,2,23,74,1,31.8,2,13,2,24,6,96.2,0,0,31,100,75,94,96,83,72,94,.,55,81,.,62,93,77.8,14.3,.,19.3,75,33,1,5,7,44,12,31,67500,51575,39723,38056,12,5.4,12.4,24.3,12,16.7,13.5,0,3,97,0,79,9,2,0,5,4,256502,1.471000,3537170,9333,48,48,4,506868,15,3464136,3267747,8622,49,10,6,11,24,1606352,4238,69,12,7,0,7,0,5,0
San Angelo,226903,226 TOM GREEN,15,AA,24,14333,6,50,43,1,54.3,5,13,5,21,4,96.1,0.6,11.4,881,79.9,72,89,93,79,73,88,64,61,83,92,62,79,61.8,26.3,994,19.8,1927,968,1,2,9,50,12,26,77355,61654,47200,41691,31,7.4,14.8,30,12.2,14.4,12.1,2,14,83,1,73,13,3,3,4,4,194928,1.440000,109813402,7578,45,40,15,21063162,23,109705013,101079259,6975,58,6,5,11,20,58293594,4022,59,16,14,0,4,3,3,1
Water Valley,226905,226 TOM GREEN,15,RE,5,349,5,13,81,1,42.1,0,23,0,21,2,96.1,0,0,27,71.4,81,92,.,87,88,96,.,62,84,.,75,78,75,16.7,925,18.3,59,34,2,2,3,57,10,26,75000,60000,43827,41837,7,5.9,10.3,17.6,13.5,17.6,11.8,0,6,94,0,82,12,0,0,6,0,309924,1.574000,3885131,11597,53,42,5,652776,19,4980664,3176680,9483,55,8,5,12,19,1756354,5243,61,18,9,0,6,0,6,0
Wall,226906,226 TOM GREEN,15,AA,7,954,0,17,83,1,20.2,2,10,2,36,11,97.2,0,3.9,71,93.4,91,97,99,95,89,96,.,79,94,.,80,94,82.4,19.6,1069,20.7,171,97,1,3,4,57,13,23,83500,52272,45813,39271,12,5.6,9.8,9.6,14.2,24.9,11.5,0,4,96,0,71,11,7,1,6,3,170734,1.435000,12220114,12836,57,31,13,3022433,38,10298937,9828992,10325,56,10,4,9,20,5490892,5768,48,34,9,0,5,0,2,2
Grape Creek,226907,226 TOM GREEN,15,AA,5,1147,1,31,67,0,59.2,4,17,4,18,7,96,0,11.8,81,82.8,67,88,95,75,76,92,43,52,74,.,62,93,58.8,25,969,18.9,177,92,2,4,6,52,14,23,67102,49797,45393,35582,12,6.5,12.5,39.1,10.5,11.9,28.7,0,7,93,0,79,15,1,1,3,1,90659,1.559000,11166645,9282,66,23,11,2424599,28,10964705,8950053,7440,51,8,6,11,23,4592554,3818,61,19,11,0,3,0,5,2
Veribest,226908,226 TOM GREEN,15,AA,6,280,1,40,58,1,57.9,9,14,9,19,4,97.6,1.7,9.1,15,72.7,70,93,94,76,75,91,.,57,79,.,67,94,46.2,16.7,.,19.3,46,25,2,3,3,54,9,29,70100,50323,30035,36270,24,6.1,11.4,39.1,9.5,24.6,36.9,0,8,92,0,76,8,4,4,4,4,235486,1.490000,2775781,9605,51,42,7,701506,29,2568450,2162482,7483,52,12,6,11,19,1121352,3880,56,13,20,2,3,1,5,0
American Youthworks Charter,227801,227 TRAVIS,13,EA,2,422,13,60,26,1,66.4,5,15,3,45,0,72.8,.,44.4,91,9.7,22,51,.,23,33,76,8,23,31,.,23,76,14,33.3,932,.,49,22,2,8,45,45,0,0,55500,35278,20901,30215,31,8.6,19.1,47,7.3,26.5,50.7,3,15,82,0,100,0,0,0,0,0,0,0.000000,2609475,6013,86,0,14,360794,18,2814695,2814695,6485,62,16,8,1,13,1749930,4032,82,6,7,0,5,0,0,0
Eden Park Academy,227803,227 TRAVIS,13,RE,1,156,6,39,51,5,37.8,1,12,1,0,0,94.8,0,.,0,.,71,89,83,76,90,.,40,59,87,.,59,89,.,.,.,.,14,11,4,4,0,78,0,15,65000,65000,.,35761,22,11.4,14.6,43.9,7.7,18.7,28,9,19,72,0,82,9,8,0,0,0,0,0.000000,1148513,7606,84,9,7,331081,36,997430,990950,6563,52,15,6,24,4,516511,3421,66,18,16,0,0,0,0,0
Nyos Charter,227804,227 TRAVIS,13,RE,2,468,11,24,63,2,29.3,5,8,5,1,2,96.3,0,0,19,95.2,75,93,90,81,85,97,59,64,78,90,67,85,100,33.3,1031,.,62,38,2,5,11,61,5,17,71400,63933,55949,41328,21,7.6,12.4,63.2,5.5,29.3,47.8,5,4,86,5,89,6,3,0,1,0,0,0.000000,3668137,8115,71,15,13,884313,26,3766221,3554750,7864,55,10,7,12,16,1959415,4335,76,17,6,0,0,0,1,0
Texas Empowerment Academy,227805,227 TRAVIS,13,AA,1,122,92,6,3,0,69.7,0,14,0,0,0,97.2,0,.,0,.,62,84,95,67,50,85,59,.,.,.,63,63,.,.,.,.,14,8,2,2,0,58,0,38,65000,65000,.,37173,88,8.6,14.9,58.1,5.4,12.2,50.2,79,0,21,0,88,12,0,0,0,0,0,0.000000,917526,7842,89,1,10,3561,0,855470,855470,7312,52,8,9,23,10,440601,3766,80,13,7,0,0,0,0,0
U T University Charter,227806,227 TRAVIS,13,EA,16,971,25,19,50,6,41.2,0,60,0,0,0,99,0.5,23.7,19,34.2,42,74,69,36,51,74,40,41,46,20,52,85,.,4.5,705,16.2,293,117,8,8,14,40,30,0,69462,70177,48431,44811,30,3.3,8.3,54.8,7.2,18,26.1,12,6,82,1,24,76,0,0,0,0,0,0.000000,14393893,14057,100,0,0,4863193,32,18043058,17926611,17506,59,27,4,2,9,10553346,10306,52,35,13,0,0,0,0,0
McCullough Acad-Excellence,227811,227 TRAVIS,13,AU,1,137,85,15,0,0,80.3,1,4,1,0,0,94.5,.,.,0,.,38,81,68,39,.,.,39,38,.,.,.,.,.,.,.,.,21,10,1,4,9,46,14,27,130000,92613,46944,36062,84,6.5,14.2,48.1,7.5,10.4,53.9,59,10,31,0,84,10,0,0,0,5,0,0.000000,1148237,9186,70,0,29,.,.,1143560,1143560,9148,60,10,11,8,11,687427,5499,89,1,10,0,0,0,0,0
Fruit of Excellence,227812,227 TRAVIS,13,AA,1,51,73,10,18,0,80.4,0,45,0,45,0,92.8,0,28.6,6,71.4,73,91,.,86,.,80,71,.,.,.,63,.,20,.,.,.,7,1,9,0,0,22,0,69,84892,.,.,46187,74,7.8,35.7,70,5,0,0,100,0,0,0,100,0,0,0,0,0,0,0.000000,378654,8806,83,1,17,59828,14,371172,371172,8632,56,16,0,6,23,206227,4796,14,36,33,0,17,0,0,0
Star Charter,227814,227 TRAVIS,13,RE,1,301,8,16,73,3,0,0,2,0,0,1,95.9,0,0,8,80,87,96,95,91,90,97,75,86,89,80,.,.,75,50,1123,.,23,20,1,13,0,86,0,0,60000,61767,.,41880,13,13,15.1,50.3,8.1,30.2,44.1,0,5,85,10,100,0,0,0,0,0,0,0.000000,1579896,6269,96,2,2,.,.,1386943,1348925,5353,68,8,6,9,9,920411,3652,92,7,1,0,0,0,0,0
Harmony Sci Acad (Austin),227816,227 TRAVIS,13,RE,1,264,10,61,22,6,50,8,4,8,16,35,96.9,0,.,0,.,93,96,97,97,85,99,95,93,97,80,89,.,.,.,.,.,27,23,0,9,4,84,0,4,.,60131,21500,35394,15,9.8,11.6,95.6,2,28.8,56.1,4,4,91,0,89,4,0,4,2,0,0,0.000000,1927972,7620,88,4,8,298637,17,1723280,1723280,6811,51,14,7,22,6,878894,3474,61,8,21,5,4,1,0,0
Cedars International Acad,227817,227 TRAVIS,13,AU,1,188,58,26,13,3,65.4,4,14,4,0,7,96.3,0,.,0,.,46,81,59,53,67,.,33,59,63,.,43,91,.,.,.,.,26,17,2,2,4,65,17,10,56650,56650,37000,34855,23,7.2,11.2,100,1.8,41.6,22.8,12,6,82,0,82,12,6,0,0,0,0,0.000000,1256182,8104,83,6,11,400525,36,1236462,1197101,7723,64,6,5,10,14,769326,4963,74,11,15,0,0,0,0,0
Austin Can Academy Charter,227818,227 TRAVIS,13,EA,1,271,33,63,4,0,85.2,30,20,28,28,0,71.9,.,32.7,33,13.1,22,60,.,17,12,57,23,23,.,.,23,71,0,.,.,.,52,18,10,6,23,35,2,25,16542,50656,28448,38217,48,5.2,15.1,77.8,3.7,5.6,55.6,22,22,50,6,65,14,0,14,7,0,0,0.000000,2120335,5715,89,1,11,295408,11,2588799,2497845,6733,57,1,20,13,9,1420799,3830,78,9,12,0,1,0,1,0
U T Elementary Charter,227819,227 TRAVIS,13,EX,1,216,15,79,5,1,66.2,9,8,9,0,5,96.7,.,.,0,.,88,94,94,93,.,.,83,88,.,.,92,92,.,.,.,.,24,14,6,6,3,61,0,24,61421,69727,57213,45970,48,9.1,15.1,59.3,5.8,22.9,19.7,16,30,47,7,97,3,0,0,0,0,0,0.000000,1605118,9018,69,22,9,243585,18,1473739,1473739,8279,66,8,6,9,11,978566,5498,92,4,5,0,0,0,0,0
Kipp Austin College Prep,227820,227 TRAVIS,13,AA,1,313,13,86,1,0,49.5,21,6,16,0,0,97.6,0,.,0,.,83,95,.,95,57,98,72,84,.,.,82,41,.,.,.,.,36,22,3,8,20,61,0,9,39768,46459,41891,40673,41,8.8,14.4,77.7,4,16.7,48.3,1,12,64,22,84,0,13,3,0,0,0,0.000000,2991515,11686,61,23,16,222762,9,2774698,2769882,10820,47,15,7,11,20,1296127,5063,59,11,27,3,0,0,0,0
Austin Discovery,227821,227 TRAVIS,13,AU,1,213,10,18,70,2,0,1,6,1,0,0,94,.,.,0,.,60,84,55,75,67,.,71,71,54,.,.,63,.,.,.,.,27,21,4,4,6,78,4,4,42500,40900,37862,32502,18,7.8,9.9,82.2,2.3,23.3,28.1,0,14,77,9,91,9,0,0,0,0,0,0.000000,1252349,9141,60,5,36,-23609,-2,1275976,1270850,9276,54,11,7,20,9,680994,4971,96,4,0,0,0,0,0,0
Harmony Elementary (Austin),227822,227 TRAVIS,13,RE,1,246,18,33,31,18,35.8,2,2,2,0,31,.,.,.,0,.,80,95,85,90,83,.,77,65,91,.,72,.,.,.,.,.,21,15,0,19,5,71,0,5,.,56512,20948,31519,5,11.9,16.7,100,0.5,25.8,.,0,0,100,0,88,0,0,0,0,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Austin,227901,227 TRAVIS,13,AA,115,81917,13,57,27,3,61,25,11,24,18,6,94.2,0.5,10.2,3862,77.3,64,83,89,71,68,85,45,53,87,87,49,80,79.8,37.2,1022,20,10831,5714,1,4,8,53,7,28,84076,61151,56581,43393,48,7.6,14.3,38.5,11.2,26.2,16.3,7,25,66,2,64,12,4,8,3,9,573611,1.493000,723125256,8927,10,78,12,57882193,8,838981107,660238606,8151,56,7,6,13,18,368824651,4553,44,22,15,13,3,1,2,1
Pflugerville,227904,227 TRAVIS,13,AA,26,19734,23,35,34,9,41.5,14,10,13,15,7,95.4,0.4,5.9,964,80.7,72,90,93,79,76,91,58,66,84,86,61,90,76.5,31,1010,19.6,2101,1256,1,3,9,60,9,17,75955,65047,51037,43781,33,9.4,15.7,36.6,11,17.4,16.1,7,15,75,2,72,11,3,5,2,7,299748,1.680000,152216069,8127,24,70,6,9809217,8,182751694,129594478,6919,57,5,6,11,22,74231534,3963,63,20,5,3,2,4,3,1
Manor,227907,227 TRAVIS,13,AA,8,5096,27,56,16,2,69.5,24,12,22,18,2,95.4,0.3,9.8,142,73.8,52,77,84,61,61,81,41,49,77,80,46,99,49.6,16.9,933,20,664,328,3,3,8,49,5,32,53630,63021,47136,41571,42,7.7,15.5,58.8,6.9,15.8,26.5,9,15,74,2,66,12,5,12,4,2,374715,1.768000,41834422,9198,13,76,11,9296964,25,72098422,33719792,7414,54,8,6,11,21,18317390,4028,51,18,17,2,5,2,3,2
Eanes,227909,227 TRAVIS,13,RE,9,7216,1,6,84,9,2.7,2,9,1,14,12,96.7,0,1.9,555,95.1,94,98,98,96,95,99,91,88,94,93,78,94,.,70.4,1186,25.7,918,521,0,2,10,57,8,22,124752,66122,53924,46444,16,7.9,13.8,25.2,14,32.2,13.5,0,5,94,1,73,16,1,1,1,9,1030857,1.563000,67343921,9431,8,88,4,20816888,19,66809902,53444230,7484,58,8,5,11,18,31177128,4366,66,25,2,1,1,1,3,1
Del Valle,227910,227 TRAVIS,13,AA,12,8484,14,75,10,1,77.3,25,12,24,19,5,95.3,0.1,10.4,319,83.2,59,83,89,68,61,89,55,57,73,78,57,89,39.6,6.9,895,16.9,1091,570,1,3,9,52,8,27,83595,62587,44498,43343,46,7.8,14.9,46.1,9.2,19.2,18.1,3,23,73,1,67,14,3,13,2,1,300626,1.728000,72864073,8851,30,58,13,14976994,26,80371630,55388722,6728,54,7,6,11,22,29981730,3642,60,14,14,7,3,0,2,0
