SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT09R,DA0708DR09R,DADC409R,DA0GR09N,DAGC409R,DA311TA10R,DA311TR10R,DA311TW10R,DA311TM10R,DA311TC10R,DA311TS10R,DB311TA10R,DH311TA10R,DW311TA10R,DO311TA10R,DE311TA10R,DACTA10R,DA0CT09R,DA0CC09R,DA0CS09R,DA0CA09R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Bandera,010902,010 BANDERA,20,RE,4,2536,1,26,73,1,52.8,4,13,4,27,9,95,0.5,9.4,160,77.1,82,92,95,87,91,97,86,73,85,77,75,93,74.5,37,1020,22.7,377,194,1,3,7,51,10,28,86275,67598,57942,48896,11,6.7,13.1,24.8,12.6,18.7,11.5,0,5,95,0,72,11,7,0,5,5,476727,1.210000,25943789,10361,34,58,8,5826497,28,25407926,22628270,9037,58,5,4,10,23,13205190,5274,63,16,12,0,4,0,4,1
Bastrop,011901,011 BASTROP,13,AA,13,8865,8,47,44,1,63.5,16,12,14,16,10,95,0,5.5,512,79.3,70,87,87,79,79,95,58,62,79,80,62,88,47.1,15.4,930,18.5,1187,606,0,3,8,51,12,25,80498,68715,56530,47036,30,7.5,14.6,31.1,12.3,20.2,13.6,5,15,80,1,57,11,13,9,3,7,292919,1.481000,87107412,10007,42,48,10,8507870,14,141289489,72090232,8281,59,4,5,10,22,42203880,4848,50,23,9,7,3,4,2,2
Elgin,011902,011 BASTROP,13,AA,7,3956,15,51,33,1,68.9,19,10,19,29,6,95.2,0,4.9,206,77.1,63,83,85,72,74,92,52,57,76,80,55,78,55.4,13.6,927,19.8,510,250,2,3,6,49,11,30,88542,64621,54419,46775,35,7.8,15.8,41.3,11.5,19.8,14,3,15,82,1,79,9,3,3,5,1,221662,1.450000,37767963,9777,52,39,9,6836615,22,47010186,30073576,7785,58,6,5,12,20,17343874,4490,56,18,15,2,4,1,3,2
Smithville,011904,011 BASTROP,13,RE,4,1704,10,21,68,1,52.4,4,11,4,22,7,95.6,0,5.3,120,90.8,78,91,90,86,87,93,57,67,83,93,69,87,57.3,27.1,1008,20.3,252,133,1,2,9,53,11,23,80244,59520,46603,43342,12,6.8,12.8,29.5,12.8,18.6,13.4,4,0,96,0,76,12,3,2,4,3,326271,1.250000,15837423,9344,44,48,8,2051492,15,16292173,14457528,8530,54,7,5,13,21,7785290,4593,55,22,12,2,4,1,4,1
McDade,011905,011 BASTROP,13,RE,1,183,2,43,56,0,63.9,20,11,20,0,6,96.3,0,.,15,.,77,87,86,82,97,.,.,69,81,.,71,.,0,.,.,.,36,17,5,3,8,45,22,16,64926,55000,43300,38923,16,5,11.1,36.4,10.1,0,13.3,0,0,100,0,82,9,9,0,0,0,373497,1.102000,2372618,11574,47,42,12,502761,25,2314551,1925956,9395,57,11,5,12,16,1090515,5320,62,12,23,1,0,0,1,0
Seymour,012901,012 BAYLOR,09,EX,3,580,5,19,76,1,50.3,1,9,1,28,5,96.8,0,2.3,43,90.9,89,96,96,93,94,.,82,81,91,.,80,90,71.8,32.1,.,20.8,92,55,2,3,4,59,9,23,88929,67883,47158,42890,2,6.3,10.6,21.9,14.6,10.7,12.7,0,0,100,0,80,5,4,0,11,0,246858,1.040000,6561284,11822,62,31,7,2539646,47,6683423,5831221,10507,56,7,6,11,20,3275439,5902,57,7,19,0,9,0,8,0
St Mary's Academy Charter,013801,013 BEE,02,EX,1,333,4,78,16,2,77.8,0,11,0,0,4,96.4,.,.,0,.,92,98,90,95,.,.,.,92,91,.,91,.,.,.,.,.,60,24,2,1,7,41,25,24,66099,56915,39302,36870,48,5.5,13.7,40.8,12.3,22.8,11.2,4,28,63,4,89,11,0,0,0,0,0,0.000000,3376725,10585,81,4,15,250945,9,3080136,3058380,9587,54,14,5,15,13,1638054,5135,64,10,26,0,0,0,0,0
Beeville,013901,013 BEE,02,AA,7,3491,2,80,17,1,66,3,10,2,28,8,94.7,0,12.2,212,76.4,62,84,92,70,72,91,58,59,75,71,56,84,56.6,17,1066,19.3,488,230,1,3,7,47,11,31,94275,64706,54496,44774,56,7.2,15.2,33.9,12.9,19.1,16.3,1,33,66,0,74,18,2,0,6,0,162522,1.318000,32717361,9242,60,25,14,8121222,32,37477815,27883629,7877,57,7,5,11,20,15908265,4494,59,13,17,0,4,2,4,3
Pawnee,013902,013 BEE,02,RE,1,137,0,71,29,0,78.1,2,6,2,0,2,96.9,0,.,0,.,78,93,86,85,92,.,.,79,76,.,80,.,.,.,.,.,26,12,4,4,5,46,16,26,78500,62000,48173,41785,46,5.2,11.5,37.3,12.3,29.3,32.7,0,21,79,0,92,0,8,0,0,0,1560131,1.218000,2271583,18319,20,73,7,695172,27,6458249,1451197,11703,56,8,6,10,20,806658,6505,70,7,22,0,0,0,1,0
Pettus,013903,013 BEE,02,RE,2,404,3,59,38,0,68.8,1,14,1,26,4,96,0,6.9,25,82.8,74,91,96,88,77,95,.,66,87,.,68,92,60,6.7,.,17.8,61,35,3,2,13,57,15,10,65545,57261,34041,43921,33,6.6,11.7,20.3,14.3,7.9,12.6,3,20,77,0,89,7,0,0,4,0,382152,1.040000,4148820,10611,38,51,11,587507,16,4187896,4013754,10265,57,9,5,10,18,2288901,5854,54,14,21,0,5,0,6,0
