CDN,DISTRICT NAME,"2004-2005
ADA","2004-2005
WADA","2005-2006
ADA","2005-2006
WADA","2006-2007
ADA","2006-2007
WADA","2007-2008
ADA","2007-2008
WADA","2008-2009
ADA","2008-2009
WADA","2009-2010
ADA","2009-2010
WADA","2010-2011
ADA","2010-2011
WADA","2011-2012
ADA","2011-2012
WADA","2012-2013
ADA","2012-2013
WADA","2013-2014
ADA","2013-2014
WADA"," 2014-2015
ADA"," 2014-2015
WADA","2015-2016
ADA","2015-2016 
WADA"
101809,BAY AREA CHARTER INC,250.852,328.2447953,280.724,368.5128336,252.778,341.3258178,259.321,358.3830165,279.872,387.9392947,313.326,478.335,304.549,470.506,319.23,472.729,324.35,497.124,372.613,574.781,366.699,562.558,,
158901,BAY CITY ISD,3888.274,5440.713821,3825.565,5353.433191,3698.342,5122.517374,3674.561,5077.544,3599.417,4998.582,3495.578,4873.056,3469.11,4871.72,3450.768,4584.358,3367.904,4698.054,3347.071,4700.04,3441.396,4777.753,3439.702,4812.738
101847,BEATRICE MAYES INSTITUTE CHARTER S,310.517,405.2492816,332.685,449.7924518,333.485,467.8801635,362.819,509.1297717,386.488,543.2716015,398.9,600.061,416.575,633.246,423.893,615.317,429.989,648.833,406.101,632.821,448.679,685.438,436.403,681.51
123910,BEAUMONT ISD,18735.95,24945.66655,18138.273,24105.53161,17888.949,23675.81491,17698.551,23422.125,17675.241,23650.543,17898.028,24080.172,18183.24,24092.382,18133.027,22724.09,18086.49,23740.408,18026.727,24136.424,17623.44,23633.141,17392.519,23271.361
183901,BECKVILLE ISD,438.596,720.8545115,486.82,788.8232591,507.412,799.8922572,530.156,840.108,569.162,884.142,592.086,910.289,614.131,942.698,601.326,863.208,614.914,915.337,642.905,964.194,649.159,969.021,641.808,976.425
013901,BEEVILLE ISD,3367.57,4642.573658,3365.328,4646.705317,3286.496,4549.021303,3254.335,4446.749,3264.009,4482.239,3227.69,4489.851,3218.917,4485.945,3160.892,4166.777,3106.511,4220.722,3051.937,4270.287,3088.525,4314.513,3082.291,4344.863
039904,BELLEVUE ISD,173.185,283.9254158,172.442,285.3760079,175.895,292.3724497,172.491,285.111,169.988,281.114,164.463,269.188,170.762,288.882,159.732,258.145,152.732,254.174,139.014,240.286,145.17,241.902,138.527,236.917
091901,BELLS ISD,725.645,1172.191085,730.594,1159.19238,702.466,1108.954222,713.214,1111.679,751.326,1152.968,726.908,1129.311,707.459,1096.411,727.053,1044.191,712.441,1072.357,729.827,1092.645,712.582,1075.498,735.811,1100.055
008901,BELLVILLE ISD,2075.845,2893.939315,2068.51,2889.355406,2057.719,2854.248206,2069.589,2863.489,2031.056,2797.262,2031.228,2832.395,2022.281,2785.625,2025.337,2647.501,1984.148,2690.671,2008.449,2752.933,2045.029,2797.273,2105.28,2884.016
014903,BELTON ISD,6726.689,8686.865194,7053.468,9005.820419,7378.383,9369.370665,7720.742,9773.071,7957.493,9996.542,8288.031,10434.769,8658.235,10952.658,8914.775,10693.22,9267.968,11637.924,9672.649,12299.645,9858.17,12527.002,10158.067,12915.173
125902,BEN BOLT-PALITO BLANCO ISD,584.914,989.1768027,566.255,969.5074127,548.588,934.5833563,576.031,972.332,559.821,952.975,557.842,943.552,556.119,953.928,571.264,916.318,567.889,937.498,555.539,941.942,534.613,907.818,522.211,905.004
066901,BENAVIDES ISD,428.816,896.5383463,411.098,864.0405541,410.705,837.1686022,392.634,806.189,381.11,783.491,368.393,742.606,356.969,712.866,336.831,665.404,330.956,683.057,334.29,713.633,325.413,704.228,329.567,705.317
138904,BENJAMIN ISD,79.235,164.5667407,76.314,165.5920248,69.882,173.9611395,69.078,168.674,71.952,165.148,78.197,164.846,68.805,142.802,80.323,159.477,70.009,149.343,90.361,260.581,90.375,267.632,82.801,266.732
101820,BENJI'S SPECIAL EDUCATIONAL ACADE,423.31,638.4214105,491.431,674.0653122,523.199,692.6454323,484.516,665.7097997,462.392,643.2129488,444.624,673.243,42.779,62.324,0,0,,,,,,,,
101870,BETA ACADEMY,,,,,,,,,,,,,,,,,,,,,,,441.627,654.249
015809,BEXAR COUNTY ACADEMY,360.427,530.4685619,366.793,554.2641663,341.139,524.3298187,359.195,558.1709511,343.482,531.2706881,347.566,569.19,372.474,615.609,374.127,596.995,359.852,600.399,403.318,667.557,352.762,616.789,358.362,607.143
187901,BIG SANDY ISD,446.334,793.5442903,432.362,763.4507188,455.44,777.3851708,470.456,771.735,464.753,753.325,451.136,737.58,453.488,738.255,469.729,724.246,465.048,748.532,463.508,763.34,455.28,753.562,452.363,740.335
230901,BIG SANDY ISD,635.703,1048.691462,667.488,1095.917031,693.051,1111.396566,705.811,1108.322,686.51,1100.876,664.198,1077.802,665.087,1101.268,648.57,1032.519,656.8,1085.707,650.802,1082.272,627.705,1055.381,648.477,1091.153
114901,BIG SPRING ISD,3538.721,4785.447773,3538.173,4819.530397,3555.343,4843.736153,3603.549,4881.54,3569.152,4826.011,3596.874,4820.718,3609.374,4843.697,3647.774,4629.259,3806.164,4998.659,3831.693,5108.875,3895.359,5186.677,3805.091,5037.216
193801,BIG SPRINGS CHARTER SCHOOL,61.256,213.9639197,80.342,307.4923961,101.425,428.5039943,110.427,491.0023154,120.72,531.1311165,129.193,502.292,149.39,524.442,157.123,549.166,155.184,508.849,188.158,530.92,206.631,570.387,197.523,555.685
220902,BIRDVILLE ISD,20731.852,26719.86375,20865.7,26876.89981,20818.808,26932.01298,20513.325,26500.105,20988.01,27188.114,21271.122,27738.811,21820.489,28594.87,22032.956,27280.562,22376.198,28968.306,22593.441,29713.419,22671.645,29786.046,22666.67,29771.72
178902,BISHOP CISD,1143.953,1721.372546,1127.647,1687.296682,1120.418,1639.214229,1115.056,1604.568,1116.95,1614.373,1138.67,1644.649,1144.681,1654.184,1186.661,1646.943,1200.437,1746.745,1209.757,1792.554,1266.833,1865.503,1296.486,1904.606
177903,BLACKWELL CISD,129.489,299.8976174,126.916,295.6693656,128.444,296.2444662,138.079,301.828,147.528,295.556,151.334,298.908,150.977,308.766,143.149,280.858,135.126,291.928,133.558,288.136,120.486,302.145,127.226,292.366
016902,BLANCO ISD,925.645,1550.121117,937.983,1535.641689,933.284,1525.566058,920.997,1482.728,895.08,1452.096,907.602,1489.541,909.108,1490.346,914.104,1423.435,902.858,1468.607,928.105,1505.153,939.91,1515.81,947.784,1524.181
